id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Blinding Lights,The Weeknd,pop,happy,0.73,171,0.83,0.81,0.12
12,Levitating,Dua Lipa,pop,happy,0.85,103,0.92,0.88,0.05
13,Lose Yourself,Eminem,hiphop,intense,0.92,85,0.77,0.78,0.02
14,Enter Sandman,Metallica,rock,intense,0.95,125,0.48,0.50,0.01
15,Jolene,Dolly Parton,country,sad,0.45,114,0.63,0.60,0.80
16,Old Town Road,Lil Nas X,country,happy,0.70,136,0.89,0.85,0.20
17,Hurt,Johnny Cash,country,sad,0.30,98,0.25,0.50,0.95
18,Get Lucky,Daft Punk,pop,happy,0.80,116,0.84,0.85,0.15
19,Bohemian Rhapsody,Queen,rock,dramatic,0.65,72,0.60,0.40,0.50
20,Chop Suey!,System of a Down,rock,intense,0.98,133,0.55,0.60,0.01
